100.png,11.3614
1621.png,10.4404
1622.png,12.1275
1623.png,8.15723
1624.png,12.0402
1625.png,10.8281
1626.png,9.48811
1627.png,8.23348
1628.png,12.9531
1629.png,8.03413
1630.png,11.849
1631.png,11.7338
1632.png,9.88719
1633.png,10.4707
1634.png,12.6447
1635.png,9.97727
1636.png,12.8698
1637.png,10.6221
1638.png,8.46807
1639.png,12.0665
1640.png,9.05843
1641.png,10.7717
1642.png,9.46135
1643.png,12.0807
1644.png,12.1402
1645.png,9.10789
1646.png,11.2242
1647.png,8.47591
1648.png,10.0583
1649.png,8.48433
1650.png,8.72005
1651.png,9.06098
1652.png,10.3833
1653.png,8.38807
1654.png,9.17522
1655.png,8.03277
1656.png,12.4932
1657.png,10.7612
1658.png,8.83773
1659.png,12.6444
1660.png,10.7104
1661.png,8.20879
1662.png,10.6244
1663.png,11.2007
1664.png,12.0033
1665.png,12.1746
1666.png,9.26316
1667.png,12.8414
1668.png,10.3312
1669.png,9.32046
1670.png,10.7469
1671.png,9.88667
1672.png,9.01864
1673.png,12.5773
1674.png,12.6959
1675.png,12.1875
1676.png,10.1639
1677.png,11.5806
1678.png,12.2567
1679.png,8.39523
1680.png,10.0498
1681.png,11.2079
1682.png,12.8823
1683.png,11.5264
1684.png,11.1831
1685.png,9.02693
1686.png,9.46533
1687.png,8.80005
1688.png,9.51967
1689.png,11.5925
1690.png,12.7899
1691.png,8.07891
1692.png,9.56297
1693.png,8.24456
1694.png,12.3739
1695.png,11.4688
1696.png,12.1328
1697.png,12.5917
1698.png,8.76559
1699.png,10.3501
1700.png,10.7313
1701.png,10.5813
1702.png,11.6021
1703.png,12.1126
1704.png,9.17633
1705.png,8.5277
1706.png,11.0694
1707.png,9.21828
1708.png,12.1347
1709.png,10.3276
1710.png,11.4551
1711.png,9.77402
1712.png,8.51733
1713.png,9.4944
1714.png,8.81604
1715.png,9.16412
1716.png,10.7221
1717.png,9.77456
1718.png,11.7232
1719.png,11.2408
1720.png,11.8502
1721.png,11.9517
1722.png,10.6329
1723.png,9.28146
1724.png,12.9768
1725.png,8.53312
1726.png,10.0747
1727.png,8.7731
